State,2000,Presidential,House,2002,House,2004,Presidential,House,2006,House,2008,Presidential,House,2010,House,2012,Presidential,House,2014,House,2016,Presidential,House,2018,House
Maine,67.2,Democrat,Democrat,50.8,Democrat,73.8,Democrat,Democrat,54.2,Democrat,70.6,Democrat,Democrat,55.2,Democrat,68.2,Democrat,Democrat,58.1,Democrat,70.7,Democrat,Democrat,60.2,Democrat
Maryland,55.5,Democrat,Democrat,46.3,Democrat,62.9,Democrat,Democrat,46.7,Democrat,67,Democrat,Democrat,46.4,Democrat,66.6,Democrat,Democrat,41.7,Democrat,66.4,Democrat,Democrat,54.2,Democrat
Massachusetts,59.9,Democrat,Democrat,49.2,Democrat,64.2,Democrat,Democrat,48.8,Democrat,66.8,Democrat,Democrat,48.9,Democrat,65.9,Democrat,Democrat,44.1,Democrat,67.2,Democrat,Democrat,54.6,Democrat
Michigan,59.9,Democrat,Democrat,44.5,Republican,66.6,Democrat,Republican,52.1,Republican,69.2,Democrat,Democrat,44.5,Republican,64.7,Democrat,Republican,42.7,Republican,64.7,Republican,Republican,57.8,Democrat
Minnesota,69.5,Democrat,Democrat,64.1,Democrat,78.4,Democrat,Democrat,60.1,Democrat,77.8,Democrat,Democrat,55.4,Democrat,76,Democrat,Democrat,50.4,Democrat,74.1,Democrat,Democrat,64.2,Democrat
Mississippi,49.1,Republican,Democrat,30.1,Republican,55.7,Republican,Republican,29.4,Republican,61,Republican,Democrat,37,Republican,59.3,Republican,Republican,29,Republican,55.2,Republican,Republican,42.7,Republican
Missouri,58.2,Republican,Republican,45.6,Republican,65.3,Republican,Republican,50,Republican,67.6,Republican,Republican,44.5,Republican,62.2,Republican,Republican,31.7,Republican,62.2,Republican,Republican,53.4,Republican
Montana,61.6,Republican,Republican,48.4,Republican,64.4,Republican,Republican,56.4,Republican,66.3,Republican,Republican,47.5,Republican,62.5,Republican,Republican,46.9,Republican,61.8,Republican,Republican,62,Republican
Nebraska,56.9,Republican,Republican,39.9,Republican,62.9,Republican,Republican,47.6,Republican,62.9,Republican,Republican,37.5,Republican,60.3,Republican,Republican,40.5,Republican,62.8,Republican,Republican,51.8,Republican
Nevada,45.2,Republican,Republican,36.2,Republican,55.3,Republican,Republican,36.9,Republican,57,Democrat,Democrat,41.3,Republican,56.4,Democrat,Republican,29.3,Republican,57.4,Democrat,Democrat,47.5,Democrat
New Hampshire,63.9,Republican,Republican,48.1,Republican,70.9,Democrat,Republican,41.4,Democrat,71.7,Democrat,Democrat,45.7,Republican,70.2,Democrat,Democrat,47.6,Democrat,71.4,Democrat,Democrat,54.6,Democrat
New Jersey,56.9,Democrat,Democrat,38.1,Democrat,63.8,Democrat,Democrat,39.5,Democrat,67,Democrat,Democrat,36.4,Democrat,61.5,Democrat,Democrat,31.1,Democrat,64.4,Democrat,Democrat,53.1,Democrat
New Mexico,48.5,Democrat,Republican,38.6,Republican,59,Republican,Republican,42.5,Republican,60.9,Democrat,Democrat,42.8,Democrat,54.6,Democrat,Democrat,35.4,Democrat,54.5,Democrat,Democrat,47.3,Democrat
New York,55.1,Democrat,Democrat,36.1,Democrat,58,Democrat,Democrat,34.9,Democrat,59,Democrat,Democrat,35.5,Democrat,53.1,Democrat,Democrat,28.2,Democrat,56.8,Democrat,Democrat,45.2,Democrat
North Carolina,50.7,Republican,Republican,39.7,Republican,57.8,Republican,Republican,31,Democrat,65.5,Democrat,Democrat,39.2,Democrat,64.8,Republican,Republican,40.8,Republican,64.5,Republican,Republican,49.6,Republican
North Dakota,60.3,Republican,Democrat,48.5,Democrat,64.8,Republican,Democrat,44.9,Democrat,62.7,Republican,Democrat,46.2,Republican,59.8,Republican,Republican,43.8,Republican,60.8,Republican,Republican,58.6,Republican
Ohio,56.7,Republican,Republican,38.8,Republican,66.8,Republican,Republican,47.5,Republican,66.9,Democrat,Democrat,44.9,Republican,64.5,Democrat,Republican,35.1,Republican,62.9,Republican,Republican,50.9,Republican
Oklahoma,49.9,Republican,Republican,41.2,Republican,58.3,Republican,Republican,36.4,Republican,55.8,Republican,Republican,38.8,Republican,49.2,Republican,Republican,29.9,Republican,52.3,Republican,Republican,42.5,Republican
Oregon,64.9,Democrat,Democrat,50.8,Democrat,72,Democrat,Democrat,52.5,Democrat,67.7,Democrat,Democrat,52.7,Democrat,63.1,Democrat,Democrat,50.9,Democrat,66.2,Democrat,Democrat,61.5,Democrat
Pennsylvania,54.1,Democrat,Republican,38.8,Republican,62.6,Democrat,Republican,44.1,Democrat,63.6,Democrat,Democrat,41.7,Republican,59.5,Democrat,Republican,36.1,Republican,63.6,Republican,Republican,51.4,Democrat
Rhode Island,54.2,Democrat,Democrat,44.7,Democrat,58.5,Democrat,Democrat,51,Democrat,61.8,Democrat,Democrat,44.8,Democrat,58,Democrat,Democrat,41.7,Democrat,59.1,Democrat,Democrat,48.1,Democrat
South Carolina,47,Republican,Republican,36.9,Republican,53,Republican,Republican,34.6,Republican,58,Republican,Republican,39.7,Republican,56.3,Republican,Republican,34.8,Republican,56.7,Republican,Republican,45.2,Republican
South Dakota,57.7,Republican,Republican,60.7,Republican,68.2,Republican,Democrat,57.8,Democrat,64.7,Republican,Democrat,52.9,Republican,59.3,Republican,Republican,44.3,Republican,58.6,Republican,Republican,53.3,Republican
Tennessee,49.9,Republican,Republican,39.6,Democrat,56.3,Republican,Democrat,41.4,Democrat,57,Republican,Democrat,34.6,Republican,51.9,Republican,Republican,28.6,Republican,51.1,Republican,Republican,45.1,Republican
Texas,49.2,Republican,Democrat,34.2,Democrat,53.7,Republican,Republican,30.9,Republican,54.1,Republican,Republican,32.1,Republican,49.6,Republican,Republican,28.3,Republican,51.4,Republican,Republican,46.3,Republican
Utah,53.8,Republican,Republican,37,Republican,58.9,Republican,Republican,34.3,Republican,56,Republican,Republican,36.3,Republican,55.5,Republican,Republican,29.7,Republican,56.8,Republican,Republican,52,Republican
Vermont,64.1,Democrat,Independent,48.8,Independent,66.3,Democrat,Independent,54.9,Democrat,67.3,Democrat,Democrat,49.4,Democrat,60.7,Democrat,Democrat,38.9,Democrat,63.7,Democrat,Democrat,55.9,Democrat
Virginia,54,Republican,Republican,29,Republican,60.6,Republican,Republican,44,Republican,67,Democrat,Democrat,38.7,Republican,66.1,Democrat,Republican,36.6,Republican,66.1,Democrat,Republican,54.8,Democrat
Washington,60.7,Democrat,Democrat,41.8,Democrat,66.9,Democrat,Democrat,47.3,Democrat,66.6,Democrat,Democrat,53.2,Democrat,64.8,Democrat,Democrat,41.2,Democrat,64.7,Democrat,Democrat,58.9,Democrat
West Virginia,46.6,Republican,Democrat,31.2,Democrat,54.1,Republican,Democrat,32.8,Democrat,49.9,Republican,Democrat,36.8,Republican,46.3,Republican,Republican,31.2,Republican,50.2,Republican,Republican,42.5,Republican
Wisconsin,67.6,Democrat,Democrat,45.4,Republican,74.8,Democrat,Republican,53.2,Democrat,72.4,Democrat,Democrat,52,Republican,72.9,Democrat,Republican,56.6,Republican,69.5,Republican,Republican,61.7,Democrat
Wyoming,59.2,Republican,Republican,50.1,Republican,65.7,Republican,Republican,51.1,Republican,62.8,Republican,Republican,45.5,Republican,58.6,Republican,Republican,39,Republican,59.5,Republican,Republican,48.7,Republican
